World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,Date,Exp Points,Exp to Up,% to Up
09,697,2412932883,Middlemoon,233,warrior,201,D A M A I, ,35,25,No rank,No rank,No rank,96204444,6,48.258.658,120.646.644,241.293.288,120.646.644,48.258.658,0,2024-01-19,2.412.932.883,22562527,53.5
37,698,2410961509,Shine,233,wizard,282,H Y D R A, ,46,15,No rank,50,No rank,81994266,3,48.219.230,120.548.075,241.096.151,120.548.075,48.219.230,0,2024-01-19,2.410.961.509,24533901,58.2
02,699,2410367744,Aniel,233,warrior,284,Pau Mole, ,74,45,No rank,No rank,No rank,0,0,48.207.355,120.518.387,241.036.774,120.518.387,48.207.355,0,2024-01-19,2.410.367.744,25127666,59.6
33,700,2409122926,Darlingqu,233,wizard,310,Eternity, ,67,21,No rank,37,No rank,0,0,48.182.459,120.456.146,240.912.293,120.456.146,48.182.459,0,2024-01-19,2.409.122.926,26372484,62.5
02,701,2408829441,Gts,233,warrior,259,Dream Team, ,75,46,No rank,No rank,No rank,186655044,4,48.176.589,120.441.472,240.882.944,120.441.472,48.176.589,0,2024-01-19,2.408.829.441,26665969,63.2
23,702,2407270106,Sylvesters,233,warrior,389,P E A C E, ,42,28,31,23,No rank,41404016,13,48.145.402,120.363.505,240.727.011,120.363.505,48.145.402,0,2024-01-19,2.407.270.106,28225304,66.9
36,703,2406531044,Gracie,233,wizard,362,Happiness, ,50,18,32,13,No rank,47141704,4,48.130.621,120.326.552,240.653.104,120.326.552,48.130.621,0,2024-01-19,2.406.531.044,28964366,68.7
23,704,2403580168,Miraclez,233,warrior,298,S W A T, ,43,29,No rank,No rank,No rank,6791308,44,48.071.603,120.179.008,240.358.017,120.179.008,48.071.603,0,2024-01-19,2.403.580.168,31915242,75.7
01,705,2401581198,Thebeast,233,wizard,135,The Best, ,80,29,No rank,No rank,No rank,0,0,48.031.624,120.079.060,240.158.120,120.079.060,48.031.624,0,2024-01-19,2.401.581.198,33914212,80.4
01,706,2400512507,Nah,233,wizard,317,W I N E, ,81,30,No rank,69,No rank,0,0,48.010.250,120.025.625,240.051.251,120.025.625,48.010.250,0,2024-01-19,2.400.512.507,34982903,83.0
15,707,2395418428,Barcelonia,233,warrior,272,All 4 One, ,65,49,No rank,No rank,No rank,3729218,63,47.908.369,119.770.921,239.541.843,119.770.921,47.908.369,0,2024-01-19,2.395.418.428,40076982,95.0
32,708,2390618120,Soulrevans,232,warrior,442,I Am Fine, ,63,44,16,10,No rank,713848785,1,47.812.362,119.530.906,239.061.812,119.530.906,47.812.362,0,2024-01-19,2.390.618.120,3249520,7.8
11,709,2389898384,Anacondas,232,wizard,218,Flyang3l, ,83,29,No rank,No rank,No rank,5002862,70,47.797.968,119.494.919,238.989.838,119.494.919,47.797.968,0,2024-01-19,2.389.898.384,3969256,9.5
01,710,2389351888,Gadogado,232,warrior,154,B J M, ,82,52,No rank,No rank,No rank,334771207,2,47.787.038,119.467.594,238.935.189,119.467.594,47.787.038,0,2024-01-19,2.389.351.888,4515752,10.8
23,711,2387069161,Hotwar,232,warrior,334, , ,44,30,No rank,62,No rank,0,0,47.741.383,119.353.458,238.706.916,119.353.458,47.741.383,0,2024-01-19,2.387.069.161,6798479,16.3
01,712,2385871715,Meta,232,warrior,353,After Rain,0,83,53,82,47,29,32832263,23,47.717.434,119.293.586,238.587.172,119.293.586,47.717.434,0,2024-01-19,2.385.871.715,7995925,19.2
01,713,2382768136,Frosza,232,wizard,432,8dewa, ,84,31,21,11,No rank,0,0,47.655.363,119.138.407,238.276.814,119.138.407,47.655.363,0,2024-01-19,2.382.768.136,11099504,26.7
07,714,2381448237,Denxz,232,wizard,459, , ,26,8,3,1,No rank,0,0,47.628.965,119.072.412,238.144.824,119.072.412,47.628.965,0,2024-01-19,2.381.448.237,12419403,29.8
09,715,2379784516,Chirous,232,warrior,328,Conquering, ,36,26,90,48,No rank,0,0,47.595.690,118.989.226,237.978.452,118.989.226,47.595.690,0,2024-01-19,2.379.784.516,14083124,33.8
37,716,2378792213,Lv,232,warrior,237, , ,47,32,No rank,No rank,No rank,0,0,47.575.844,118.939.611,237.879.221,118.939.611,47.575.844,0,2024-01-19,2.378.792.213,15075427,36.2
33,717,2377610399,Zelxfin,232,warrior,268,Venice, ,68,47,No rank,94,No rank,4161950,37,47.552.208,118.880.520,237.761.040,118.880.520,47.552.208,0,2024-01-19,2.377.610.399,16257241,39.1
34,718,2372628142,Elchapo,232,warrior,290,Kgb, ,43,33,66,46,No rank,715785,48,47.452.563,118.631.407,237.262.814,118.631.407,47.452.563,0,2024-01-19,2.372.628.142,21239498,51.0
33,719,2372589199,Cyra,232,warrior,382,Sweet3sour, ,69,48,39,24,No rank,20274548,11,47.451.784,118.629.460,237.258.920,118.629.460,47.451.784,0,2024-01-19,2.372.589.199,21278441,51.1
11,720,2371986284,Oberic,232,wizard,279,Holy Nitro, ,84,30,No rank,No rank,No rank,35234136,18,47.439.726,118.599.314,237.198.628,118.599.314,47.439.726,0,2024-01-19,2.371.986.284,21881356,52.6
01,721,2370912174,Stowbely,232,warrior,341,After Rain, ,85,54,No rank,61,No rank,32832263,23,47.418.243,118.545.609,237.091.217,118.545.609,47.418.243,0,2024-01-19,2.370.912.174,22955466,55.1
35,722,2370698591,Rash,232,warrior,321,S26gold, ,35,22,49,25,No rank,872358,43,47.413.972,118.534.930,237.069.859,118.534.930,47.413.972,0,2024-01-19,2.370.698.591,23169049,55.7
33,723,2369652557,Ixl,232,warrior,434,8 Dewa, ,70,49,17,12,No rank,156051651,2,47.393.051,118.482.628,236.965.256,118.482.628,47.393.051,0,2024-01-19,2.369.652.557,24215083,58.2
11,724,2369019095,Buset,232,warrior,271,Legends Id, ,85,55,No rank,No rank,No rank,11234414,49,47.380.382,118.450.955,236.901.910,118.450.955,47.380.382,0,2024-01-19,2.369.019.095,24848545,59.7
