World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
32,145,4055878411,Reixy,265,wizard,470,90s,0,7,2,4,2,0,8389414,45
02,146,4041689072,Grock,265,warrior,331,Dream Team,0,17,14,98,62,0,186655044,4
35,147,4036351045,Btc,265,wizard,339,Ekipa,0,9,2,38,18,0,2113649,30
02,148,4022992796,Fabiobr,265,warrior,294,Infinity,0,18,15,0,0,0,33476050,14
33,149,4013562959,Ezagna,264,warrior,382,L A N L A,0,16,8,40,25,0,113475823,3
09,150,3999770958,Giyu,264,warrior,394,D A M A I,0,5,4,16,9,0,96204444,6
32,151,3981264455,All,264,warrior,387,Haoxiangni,0,8,6,43,31,0,134602058,5
35,152,3977159199,Odiinn,264,warrior,360,Blackbulls,0,10,8,25,13,0,148504530,4
34,153,3974075006,Ztao,264,warrior,375,L A N L A,0,13,10,19,13,0,91116146,3
35,154,3970510374,Barbaro,264,warrior,281,Guardioes,0,11,9,97,53,0,3750748,18
33,155,3964930783,Leonheartz,264,warrior,379,H O N O R,0,17,9,41,26,0,5123924,28
11,156,3952076646,Xue,263,wizard,323,Lovenlive,0,11,3,0,77,0,438317429,1
01,157,3936232150,Best,263,warrior,181,The Best,0,22,14,0,0,0,0,0
32,158,3935876677,Etaro,263,wizard,256,Haoxiangni,0,9,3,0,0,0,134602058,5
36,159,3927677584,Poseidon,263,warrior,341,Princess,0,15,12,55,37,0,111321691,2
02,160,3911090561,Solsha,263,wizard,181,Thekillers,0,19,4,0,0,0,8612933,36
01,161,3906151930,Jacks,263,warrior,338,Suicide Sq,0,23,15,0,69,0,0,0
15,162,3895149033,Aquasachet,262,warrior,402,A Qu A,0,14,10,37,23,0,0,0
33,163,3893867622,Trunks,262,wizard,376,L A N L A,0,18,9,43,18,0,113475823,3
02,164,3893059544,Aries,262,warrior,301,Pau Mole,0,20,16,0,99,0,0,0
36,165,3891221923,Duyung,262,warrior,378,Alcatraz,0,16,13,27,15,0,3956790,30
09,166,3884961572,Strainnnn,262,warrior,517, ,0,6,5,1,1,0,0,0
01,167,3874966825,Fioletanka,262,warrior,320,Sri Gala,0,24,16,0,92,0,102755498,9
36,168,3870752929,Btx,262,wizard,302,Princess,0,17,4,100,33,0,111321691,2
09,169,3865980143,Evilclouds,262,warrior,314,New Born,0,7,6,0,70,0,43573161,13
37,170,3858152140,Greenbull,262,warrior,312,F A K E,0,12,9,87,51,0,20192254,6
35,171,3849196903,Rkrd,262,wizard,428,Br Comanda,0,12,3,8,4,0,17502651,7
02,172,3848967083,Slavyan,262,warrior,193,Thekillers,0,21,17,0,0,0,8612933,36
35,173,3843923121,Ghostrose,262,warrior,311, ,0,13,10,55,31,0,0,0
01,174,3842511765,Yanyan,262,wizard,329,The Best,5,25,9,0,49,99,0,0
01,175,3829772910,Malwarx,261,warrior,311,Dead End,0,26,17,0,0,0,21901493,35
02,176,3813541839,Oyster,261,wizard,461,Gothsterz,0,22,5,9,3,0,859851517,1
09,177,3811055624,Loveriddle,261,warrior,346,New Born,0,8,7,57,30,0,43573161,13
23,178,3807960307,Unique,261,warrior,300,Angkor Kh,0,11,9,0,0,0,41856276,12
11,179,3806698977,Fenie,261,wizard,358,Holy Nitro,0,12,4,0,43,0,35234136,18
02,180,3797438435,Illlll,261,warrior,361,Pau Mole,0,23,18,56,37,0,0,0
33,181,3793173520,Xalvador,261,warrior,488,Texas,0,19,10,5,5,0,548214731,1
32,182,3784010154,Celsi,261,warrior,300,Militaryw8,0,10,7,0,0,0,115005099,6
09,183,3769743535,Gyomei,260,warrior,336,D A M A I,0,9,8,76,39,0,96204444,6
36,184,3767486332,Ivy,260,wizard,347,Damai,0,18,5,47,16,0,12028180,16
33,185,3766957114,Earthlife,260,wizard,447,Texas,0,20,10,12,3,0,548214731,1
32,186,3764541987,Boii,260,warrior,454,Militaryw8,0,11,8,10,6,0,115005099,6
34,187,3759140110,Hypervenom,260,warrior,275,Game Over,0,14,11,80,53,0,48111925,6
11,188,3757646252,Eliewar,260,warrior,295,5atu,0,13,9,0,0,0,0,0
02,189,3753682536,Merliim,260,wizard,292,R T F,0,24,6,0,77,0,45275170,11
32,190,3753534055,Truelove,260,wizard,456,Militaryw8,0,12,4,9,3,0,115005099,6
01,191,3752238711,Changyi,260,wizard,327,Rev0lution,0,27,10,0,53,0,45506149,17
01,192,3750261110,Yaqami,260,wizard,253,T6tiau,0,28,11,0,0,0,33030886,22
11,193,3739133235,Rseven,260,warrior,378,Holy Nitro,0,14,10,68,38,0,35234136,18
01,194,3731310665,Trance,260,wizard,370,The Best,0,29,12,66,27,0,0,0
02,195,3728965840,Jialin,260,warrior,316,Friend,0,25,19,0,77,0,0,0
32,196,3717853498,Zvin,259,warrior,357,Militaryw8,0,13,9,78,54,0,115005099,6
36,197,3717768947,Goldberg,259,wizard,306,Alcatraz,0,19,6,95,31,0,3956790,30
37,198,3714020329,Bossjoo,259,warrior,302,H Y D R A,0,13,10,0,64,0,81994266,3
09,199,3706765198,Hanum,259,warrior,246,Peacenowar,0,10,9,0,0,0,95001852,7
07,200,3702795184,Rajanerble,259,warrior,318,Barumain,0,5,4,80,50,0,0,0
36,201,3701237631,Bty,259,warrior,440,Princess,0,20,14,5,5,0,111321691,2
33,202,3695021763,Kuicii,259,wizard,352,8 Dewa,15,21,11,52,22,19,156051651,2
34,203,3692690831,Miura,259,warrior,233,Game Over,0,15,12,0,97,0,48111925,6
15,204,3690001625,Mcsot,259,warrior,307,Deadlysinz,0,15,11,0,0,0,36420969,17
15,205,3683405567,Cornan,259,warrior,359,Hakka,0,16,12,92,59,0,464833013,2
11,206,3677593347,Nielz,259,warrior,373,No Excuse,0,15,11,78,43,0,10601161,50
02,207,3675850422,Mrpaoz,259,warrior,406,Avatar War,0,26,20,26,17,0,566030220,2
37,208,3671208867,Mrwen,259,wizard,517, ,0,14,4,2,1,0,0,0
01,209,3667878692,Kens,259,warrior,288,Suicide Sq,0,30,18,0,0,0,0,0
01,210,3667372905,Deepeyes,259,wizard,439,Sri Gala,0,31,13,19,10,0,102755498,9
